province_code,station_code,azimuth,district_name,province_name,cell_code,x_,y_
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,100.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717872.85jhjhdks0802418310.0,21.58913,105.9448
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,100.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717875.78jhjhdks0802418310.0,21.58913,105.9448
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,100.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717878.71jhjhdks0802418320.0,21.58913,105.9448
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,250.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717881.64jhjhdks0802418320.0,21.58913,105.9448
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,250.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717884.57jhjhdks0802418330.0,21.58913,105.9448
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,340.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717887.49jhjhdks0802418330.0,21.58913,105.9448
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,340.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717890.42jhjhdks0802418330.0,21.58913,105.9448
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,340.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717893.35jhjhdks0802418340.0,21.58913,105.9448
TNN,4a5518fc038204d0dda7719a9cb01d652176a41e3540ed0cd0beca16cfd3c340,50.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy3251853.35jhjhdks0804577650.0,21.62145,105.84034
TNN,4a5518fc038204d0dda7719a9cb01d652176a41e3540ed0cd0beca16cfd3c340,50.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy3251856.28jhjhdks0804577650.0,21.62145,105.84034
TNN,4a5518fc038204d0dda7719a9cb01d652176a41e3540ed0cd0beca16cfd3c340,50.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy3251859.2jhjhdks0804577650.0,21.62145,105.84034
